m,n,k,time_collapse2,time_collapse3,max_error
100,100,100,0.1664478778839111,2.5510787963867188E-004,32.62673072305043
250,100,100,0.1336579322814941,4.1794776916503906E-004,33.44138993585857
500,100,100,0.1340501308441162,9.2697143554687500E-004,34.60738344455378
750,100,100,0.1290709972381592,1.0869503021240234E-003,35.66486887440320
1000,100,100,0.1314527988433838,1.3921260833740234E-003,33.28515766790683
100,250,100,0.1276359558105469,3.2496452331542969E-004,74.40054439543920
250,250,100,0.1272711753845215,7.4911117553710938E-004,75.77546968240986
500,250,100,0.1282861232757568,1.0621547698974609E-003,74.88291774915820
750,250,100,0.1309790611267090,1.5559196472167969E-003,75.46849451365019
1000,250,100,0.1307361125946045,2.0217895507812500E-003,75.91602987440749
100,500,100,0.1283569335937500,6.3991546630859375E-004,140.6217797294384
250,500,100,0.1316950321197510,8.9883804321289063E-004,143.4355405030939
500,500,100,0.1304078102111816,1.6019344329833984E-003,144.9398614237912
750,500,100,0.1352589130401611,2.2501945495605469E-003,144.1664837066635
1000,500,100,0.1325128078460693,2.7189254760742188E-003,148.2999939846748
100,750,100,0.1340780258178711,6.3395500183105469E-004,204.2161143983352
250,750,100,0.1298849582672119,1.1839866638183594E-003,208.5578095499392
500,750,100,0.1318030357360840,2.0830631256103516E-003,212.0347536490760
750,750,100,0.1314029693603516,2.8560161590576172E-003,209.8232204206026
1000,750,100,0.1350250244140625,3.7860870361328125E-003,217.5579863539239
100,1000,100,0.1303899288177490,8.1706047058105469E-004,271.5455318947226
250,1000,100,0.1309759616851807,1.5220642089843750E-003,275.8319626422478
500,1000,100,0.1328721046447754,2.6829242706298828E-003,283.3100514654474
750,1000,100,0.1312611103057861,3.5619735717773438E-003,285.2609124701193
1000,1000,100,0.1405248641967773,4.8050880432128906E-003,280.3953594044319
100,100,250,0.1284480094909668,4.3177604675292969E-004,33.25218023009671
250,100,250,0.1298489570617676,1.0647773742675781E-003,34.83703306578380
500,100,250,0.1286089420318604,1.8060207366943359E-003,34.86591840748374
750,100,250,0.1333799362182617,2.1650791168212891E-003,35.87241738838514
1000,100,250,0.1402349472045898,2.9911994934082031E-003,34.22243695542639
100,250,250,0.1244029998779297,7.6198577880859375E-004,75.45537314395307
250,250,250,0.1299049854278564,1.1339187622070313E-003,76.13435675731921
500,250,250,0.1320979595184326,2.0539760589599609E-003,77.21876498628231
750,250,250,0.1295340061187744,2.9959678649902344E-003,76.50993439875872
1000,250,250,0.1326298713684082,3.8638114929199219E-003,77.24330243069551
100,500,250,0.1284348964691162,9.1195106506347656E-004,142.0318081610640
250,500,250,0.1348958015441895,1.6641616821289063E-003,144.3682769517212
500,500,250,0.1329598426818848,3.1900405883789063E-003,143.6784682936715
750,500,250,0.1340880393981934,4.4739246368408203E-003,143.7579224547652
1000,500,250,0.1340498924255371,5.9750080108642578E-003,147.4126872219845
100,750,250,0.1291379928588867,1.1079311370849609E-003,206.0356189386930
250,750,250,0.1305539608001709,2.1209716796875000E-003,214.3484785058671
500,750,250,0.1375429630279541,4.0659904479980469E-003,218.2013439900400
750,750,250,0.1343779563903809,5.7859420776367188E-003,211.9060746066294
1000,750,250,0.1360909938812256,7.5399875640869141E-003,214.8008614006424
100,1000,250,0.1270840167999268,1.4770030975341797E-003,274.1508675094089
250,1000,250,0.1293559074401855,2.5959014892578125E-003,277.0358772500827
500,1000,250,0.1318519115447998,5.2089691162109375E-003,280.1605530184910
750,1000,250,0.1353721618652344,7.2388648986816406E-003,281.2953140011350
1000,1000,250,0.1392779350280762,9.4799995422363281E-003,281.5119820236309
100,100,500,0.1121149063110352,7.1215629577636719E-004,33.59862392434081
250,100,500,0.1295330524444580,1.8141269683837891E-003,34.15458363046980
500,100,500,0.1280429363250732,3.2470226287841797E-003,34.74195920816793
750,100,500,0.1356179714202881,3.8130283355712891E-003,36.63516246975858
1000,100,500,0.1346340179443359,4.8608779907226563E-003,34.88773341616282
100,250,500,0.1281998157501221,1.0468959808349609E-003,74.68477672592533
250,250,500,0.1331720352172852,1.9919872283935547E-003,76.37328505612264
500,250,500,0.1350049972534180,4.0531158447265625E-003,77.51837824715179
750,250,500,0.1345789432525635,5.9750080108642578E-003,76.63297990322366
1000,250,500,0.1374151706695557,7.7879428863525391E-003,77.74587857176223
100,500,500,0.1295480728149414,1.6100406646728516E-003,141.7231370468344
