m,n,k,time_directo,time_subrutina
100,100,100,1.31300022E-03,1.29000004E-03
1000,100,100,1.22350007E-02,1.24760000E-02
10000,100,100,0.120354995,0.121232994
100,1000,100,9.31499992E-03,9.34500061E-03
1000,1000,100,8.79250020E-02,8.92819986E-02
10000,1000,100,0.874916971,0.770772040
100,10000,100,8.74210000E-02,8.81190002E-02
1000,10000,100,0.769054949,0.853922009
10000,10000,100,6.15807295,6.15215778
100,100,1000,9.12799966E-03,9.18699987E-03
1000,100,1000,8.71869996E-02,8.80900025E-02
10000,100,1000,0.834963024,0.823716998
100,1000,1000,5.92299998E-02,4.73680012E-02
1000,1000,1000,0.562498033,0.508058012
10000,1000,1000,3.33550286,3.64975405
100,10000,1000,0.493405998,0.574010015
1000,10000,1000,3.98035979,3.83497500
10000,10000,1000,31.8690414,31.6228580
100,100,10000,9.08960029E-02,9.15700048E-02
1000,100,10000,0.758590996,0.819786012
10000,100,10000,6.48209715,6.67781878
100,1000,10000,0.420013011,0.523374021
1000,1000,10000,3.49528003,3.45139384
10000,1000,10000,33.0783272,33.5539055
100,10000,10000,4.61559296,4.20210505
1000,10000,10000,31.6718311,31.7930641
10000,10000,10000,313.033203,314.866272
